SampleID	Sex	Diet	Treatment	Treatment2	Age_Treatment
F28	males	BVit	Untreated	Untreated	16d_Untreated
F29	males	BVit	Untreated	Untreated	16d_Untreated
F30	males	BVit	Untreated	Untreated	16d_Untreated
F34	females	BVit	Untreated	Untreated	16d_Untreated
F35	females	BVit	Untreated	Untreated	16d_Untreated
F36	females	BVit	Untreated	Untreated	16d_Untreated
I28	males	T/BVit	T/BVit	Treated	16d_T/BVit
I29	males	T/BVit	T/BVit	Treated	16d_T/BVit
I30	males	T/BVit	T/BVit	Treated	16d_T/BVit
I34	females	T/BVit	T/BVit	Treated	16d_T/BVit
I35	females	T/BVit	T/BVit	Treated	16d_T/BVit
I36	females	T/BVit	T/BVit	Treated	16d_T/BVit
A4	females	T/Van	T/Van	Treated	16d_T/Van
A5	females	T/Van	T/Van	Treated	16d_T/Van
A6	females	T/Van	T/Van	Treated	16d_T/Van
A10	males	T/Van	T/Van	Treated	16d_T/Van
A11	males	T/Van	T/Van	Treated	16d_T/Van
A12	males	T/Van	T/Van	Treated	16d_T/Van
B40	females	T/Yeast	T/Yeast	Treated	16d_T/Yeast
B41	females	T/Yeast	T/Yeast	Treated	16d_T/Yeast
B42	females	T/Yeast	T/Yeast	Treated	16d_T/Yeast
B45	males	T/Yeast	T/Yeast	Treated	16d_T/Yeast
B46	males	T/Yeast	T/Yeast	Treated	16d_T/Yeast
G26	males	Van	Untreated	Untreated	16d_Untreated
G31	males	Van	Untreated	Untreated	16d_Untreated
G35	females	Van	Untreated	Untreated	16d_Untreated
G36	females	Van	Untreated	Untreated	16d_Untreated
G37	females	Van	Untreated	Untreated	16d_Untreated
G4	males	Van	Untreated	Untreated	16d_Untreated
B4	females	Yeast	Untreated	Untreated	16d_Untreated
B5	females	Yeast	Untreated	Untreated	16d_Untreated
B6	females	Yeast	Untreated	Untreated	16d_Untreated
B10	males	Yeast	Untreated	Untreated	16d_Untreated
B11	males	Yeast	Untreated	Untreated	16d_Untreated
B12	males	Yeast	Untreated	Untreated	16d_Untreated
