#OTU ID	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A1	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A2	A30	A3	A4	A5	A6	A7	A8	A9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B1	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B2	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B3	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B4	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B5	B60	B61	B62	B63	B64	B6	B7	B8	B9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C1	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C2	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C3	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C4	C50	C51	C52	C53	C54	C55	C56	C57	C58	C59	C5	C60	C61	C62	C63	C64	C65	C66	C67	C68	C69	C6	C70	C71	C72	C7	C8	C9	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D1	D20	D21	D22	D23	D24	D25	D26	D27	D28	D29	D2	D30	D31	D32	D33	D34	D35	D36	D37	D38	D39	D3	D40	D41	D42	D43	D44	D45	D46	D47	D48	D49	D4	D50	D51	D52	D53	D54	D55	D56	D57	D58	D59	D5	D60	D61	D62	D63	D64	D65	D66	D67	D68	D6	D7	D8	D9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E1	E20	E21	E22	E23	E24	E25	E26	E27	E28	E29	E2	E30	E31	E32	E33	E34	E35	E36	E37	E38	E39	E3	E40	E41	E42	E43	E44	E45	E46	E47	E48	E49	E4	E50	E51	E52	E53	E54	E55	E56	E57	E58	E59	E5	E60	E61	E62	E63	E64	E65	E66	E67	E68	E6	E7	E8	E9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F1	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F2	F30	F31	F32	F33	F34	F35	F36	F3	F4	F5	F6	F7	F8	F9	G10	G11	G12	G13	G14	G15	G16	G17	G1	G21	G22	G23	G24	G25	G26	G27	G28	G29	G2	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G3	G4	G5	G6	G7	G8	G9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I1	I20	I21	I22	I23	I24	I25	I26	I27	I28	I29	I2	I30	I31	I32	I33	I34	I35	I36	I3	I4	I5	I6	I7	I8	I9
Otu7	1344	2159	4760	11	12	39	70	2	7	62	72	1	6	2232	814	10	88	138	72	2163	1245	28	3930	20	1308	4040	4654	2	83	15	519	0	2	0	10	2	359	806	308	1	3	1	0	20	0	0	34	70	12	925	2658	26	1017	33	32	3	2225	1689	46	6	3	57	2	102	1	11	1	0	8	24	5	1	70	1306	2073	2071	1683	1	2	0	50	7	49	0	556	69	11	1	78	1	3	9	0	0	8	0	2	48	105	5	1	0	0	144	0	20	8	0	0	0	3	69	0	0	0	0	66	0	0	0	13	1	0	10	6	0	1	5	4	62	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	0	18	22	3	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	1	2	2	2	8	0	0	0	0	1	0	3	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	1	0	1	11	7	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	2	3	0	1	0	0	2	0	13	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	84	8	0	0	1	1	0	0	4657	761	0	23	14	9	0	13	5	1	18	0	0	4	332	2	5	0	2	0	18	10	0	1	0	2	0	2801	0	25	21	0	0	0	2	21	10	71	0	5	0	0	6	0	2286	0	0	139	2	6	0	1161	91	118	201	2	0	3	12	0	172	0	730	1	0	13	1	299	211	0	674	102	26	51	452	131	0	26	0	31	8	0	0	0	3	0	0	166	0	11	0	0	14	12	1	0	28	0	2	140	58	12	4	0	25	4424	7	1395
Otu10	3301	0	0	0	0	0	0	0	4185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	1907	0	0	0	0	0	0	0	0	0	0	632	3845	3560	0	0	0	0	0	0	0	0	0	0	0	0	3108	0	0	0	0	0	0	0	0
Otu6	86	0	5	7	0	26	60	4	1	0	108	0	0	0	0	6	22	22	18	15	1	11	1	190	89	16	26	4138	2187	2362	4	12	8	1	2	32	0	2	0	9	2360	3	22	1	1	1	2	5	39	1	0	2132	0	9	130	19	9	0	0	13	61	27	2639	0	3	22	781	2214	1526	1606	0	1	119	7	0	1	1	22	46	34	12	8	7	166	0	86	26	102	1360	712	0	903	829	160	23	0	7	4	25	28	8	0	0	16	0	32	8	567	726	216	9	4	14	919	849	2	690	3	1	397	0	23	9	20	26	0	1	8	10	0	0	0	0	1	0	9	2	0	4	0	0	427	48	2	0	0	1	10	16	97	31	220	81	518	959	1701	16	8	0	0	4150	4622	4337	0	0	0	86	697	81	350	3	8	0	0	0	159	3884	234	18	171	1	0	7	20	36	3	1	3940	1	346	897	8	7	401	57	11	4	83	4057	238	1038	303	2292	2166	4502	1541	3832	3584	15	1626	5	29	12	1	1	44	0	0	0	65	736	0	34	38	8	0	14	138	0	10	982	947	857	793	4	1688	109	16	5	21	4	0	0	17	3628	0	0	0	1	1	2	0	39	0	0	3723	0	3	31	7	2	1	0	14	707	1716	4287	10	94	103	3677	1189	1025	3054	1059	2039	4	25	4	4	0	65	0	53	38	7	0	0	101	0	0	1	1	1	10	2	0	1	1	2959	2628	877	0	0	0	22	50	6	0	0	1	1	13	2208	0	6	1	3	119	319	270	14	1	22	1	3213	2300	1818	7	0	0	20	1	0	0	2	1	123	0	0	41	0	11	213	106	0	1	0	0	1	1	3	1	0	0	0	0	0	1	235	1646	209	6	9	2	1816	1604	69	7	0	1	19	0	0	1669	3	6	22	0	0	0	3	2	0	0	1	24	5	1	8	709	2150	666	5	743	15	43	1	6	0	1	1	62	0	3	1	0	0	13	0
Otu1	54	82	54	3415	4832	3148	1155	4863	748	98	109	204	109	182	53	2265	73	18	12	1393	20	42	225	35	182	80	149	47	26	57	4408	4969	4963	4747	4606	4745	2006	3327	4625	4434	2522	4799	4186	3971	4857	4990	3518	2679	4559	904	743	2700	1470	4419	4219	4420	2643	2855	4731	33	22	66	2304	57	2	45	10	120	16	62	69	1956	489	3522	2534	2681	287	4553	73	29	4902	18	16	555	1716	134	44	38	1714	8	4657	3844	4044	4659	59	3535	713	193	304	551	4226	4990	4983	495	6	164	828	6	2	3154	378	222	193	19	13	130	88	7	28	15	4719	4594	126	44	30	28	10	320	344	268	4270	4660	66	237	563	541	4598	10	4884	4920	1127	695	2174	4558	4812	4916	430	706	144	657	4811	4663	4851	3634	3473	3047	4905	4977	4919	32	359	172	468	4916	4966	4896	4823	3930	4854	2224	2872	2821	142	3119	174	3907	690	3355	2548	3681	850	224	800	1548	2396	4457	4617	689	4833	895	3498	2223	3958	4365	4297	30	61	126	542	46	34	77	118	8	9	20	71	31	439	3174	370	639	4166	4987	4985	2531	2216	2482	4989	4472	4096	4980	236	31	46	106	47	15	5	17	3852	3699	3746	3258	32	2919	4590	1449	1942	2225	4892	4725	4817	3736	161	3952	4045	3592	4606	4880	1109	1285	1488	4921	162	349	51	178	2892	883	4393	4887	337	24	15	3075	334	62	111	1361	319	19	271	377	35	3	870	46	496	56	4984	108	3479	2085	1408	119	4919	266	4662	4946	7	28	33	27	62	36	14	54	32	1934	1997	3648	96	95	4460	4094	3404	3586	4958	4961	4975	4756	3386	2722	4416	4965	2193	4896	4674	4315	4248	4947	4933	4362	4921	1738	2639	3145	4889	1656	4973	3712	152	4990	4965	4871	4470	4074	2016	4654	4565	4964	4932	4720	4858	4994	548	4972	4827	4764	4589	4847	4996	230	1686	2688	4120	4861	4994	3598	2992	3811	4469	4818	4049	2597	2637	4722	4967	1620	4288	4610	3113	4501	2544	24	1885	515	1031	1729	1577	2538	2392	4903	1	4862	4168	983	1179	4057	1042	40	55	4876	1262	29	12	163	67	10	769	16	20	4845	45	103	6	18	196	95
Otu32	0	0	0	0	0	0	0	0	0	0	0	0	0	276	1350	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	301	115	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	275	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	495	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4	3	3	9	316	5	463	826	19	12	380	1380	558	339	0	56	178	674	577	991	185	2	630	154	1370	36	2	2	88	706	702	1	0	1	27	43	26	0	1	1	88	9	23	115	3	2	1	142	453	117	0	0	17	0	67	54	57	1	11	2	377	693	3708	3	130	23	269	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	49	9	24	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	28	23	140	315	233	14	21	18	247	137	99	150	16	48	27	513	442	460	11	6	50	2	65	366	558	28	15	14	489	420	0	36	1397	1869	692	184	1152	1143	465	912	931	410	1	860	381	5	1068	529	1500	1237	1962	27	2644	13	12	1912	2392	2542	1477	1853	2179	1983	1923	1	13	30	51	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	16	26	40	0	0	0	1	7	5	3	1	0	1	3	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	19	0	0	7	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu23	1	0	2	13	0	4	14	7	0	898	5	87	573	0	2	71	48	130	52	80	3	11	5	43	3	1	0	2	19	24	0	0	0	5	9	22	0	1	0	2	1	1	4	1	0	1	9	24	7	0	0	6	0	0	4	9	0	0	0	14	65	44	0	31	6	284	25	17	12	14	16	107	28	0	0	1	0	2	148	217	1	93	96	1293	0	27	48	261	26	162	0	15	5	1	5	0	3	4	6	1	0	0	0	13	0	2	0	0	2	1	1	0	0	5	12	1	1	0	3	0	0	5	0	1	2	3	0	0	6	2	0	0	0	1	4	0	0	6	0	1	3	0	4	1	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	14	16	18	0	0	0	5	0	15	5	2	23	0	17	19	17	0	0	0	2	11	1	3	3	0	2	21	113	7	0	28	9	7	9	1	0	11	2	9	8	0	10	8	2	0	0	31	14	26	0	1	0	0	1	34	33	23	17	8	5	0	0	0	0	0	0	2	0	13	16	6	0	2	1	2	16	8	2	0	1	0	12	4	11	0	0	8	0	2	16	21	0	0	0	34	37	0	1	8	16	4	3	5	5	4	6	1	18	0	2	12	0	6	4	14	11	22	0	18	1	0	14	6	4	12	16	18	4	9	0	1	13	5	0	0	0	12	4	5	2	0	1	1	6	0	1	0	0	0	2	3	2	0	0	9	0	0	0	0	1	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	21	0	0	0	1	2	0	2	0	0	0	0	0	1	1	0	0	0	2	0	1	2	0	0	0	5	0	3	1	0	1	4	21
Otu2	8	7	26	888	20	879	1866	72	16	1766	2216	2788	2586	0	205	1064	3106	2632	2799	721	4	3398	463	1704	45	4	6	572	1449	1437	3	8	6	170	238	102	1	6	1	387	64	138	528	8	9	2	1013	1149	171	5	4	80	5	338	427	354	4	1	10	1719	2816	175	30	624	74	1235	3193	2064	1959	2281	3328	1830	1958	3	1	24	2	327	3648	3736	5	4132	3350	285	1	2742	2000	2800	1317	2929	2	99	72	88	3560	1137	3216	3206	3417	752	624	7	11	2738	4073	3685	3207	3433	3548	1291	3686	3607	3884	3212	3321	3590	3473	3870	4211	3994	219	260	12	4038	4116	3738	4172	3960	3415	3319	578	285	19	4007	3653	3973	318	3859	85	38	3384	1232	2190	225	122	38	2458	2325	3469	3425	116	41	9	477	197	132	18	9	35	3607	332	159	166	63	19	85	50	295	25	1583	1409	1616	3	74	2	566	322	760	657	337	2026	7	2432	2480	1774	135	104	293	81	1023	261	1835	364	110	396	3520	3084	973	327	2866	2207	3288	1964	170	425	1843	655	685	3207	139	3291	2902	629	8	10	1595	1792	1617	5	329	114	12	3088	2680	3355	2911	3479	1800	3398	3434	64	109	98	320	10	227	56	1442	2039	1946	56	160	96	562	774	661	623	28	198	57	2330	2548	2296	38	11	451	3	696	1303	2491	149	65	33	2792	3177	168	241	2943	2226	2213	610	1141	1774	771	1665	1485	2969	2	2996	2330	4	2682	691	948	1072	2180	33	1285	75	14	2542	2229	1738	1511	2270	1764	1442	1249	7	66	227	315	1	1	1	242	556	474	8	13	4	96	1003	33	209	6	3	2	86	214	270	4	7	400	49	19	27	11	5	1	5	791	2	5	2	60	201	250	21	19	320	10	7	1	4	3	3	12	9	15	69	40	1	0	1	1	1	4	1	864	240	741	6	26	13	502	661	3	15	3	46	56	5	9	377	40	1248	3155	2847	2407	2851	1861	1838	75	436	100	45	88	140	268	2405	2027	3127	94	1882	3659	486	4364	3619	4003	80	221	1490	27	4177	4382	3336	448	3649	2606
Otu21	0	0	0	0	24	0	0	0	0	0	0	33	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667	0	0	0	0	0	0	919	90	0	0	0	0	0	60	0	261	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1623	0	0	0	0	0	0	0	109	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu3	1	0	2	111	4	117	269	9	1	312	299	538	242	0	27	157	368	444	361	126	0	316	46	181	4	1	0	52	171	130	0	1	1	19	36	8	1	1	0	36	6	15	51	1	2	0	94	96	14	0	1	6	0	30	50	33	1	0	1	190	325	36	3	55	9	107	394	213	250	436	752	208	304	0	1	3	1	37	332	257	0	275	300	26	0	417	292	323	66	340	0	16	13	14	555	193	335	256	358	71	55	1	1	375	492	360	327	605	276	170	371	456	467	388	393	685	271	476	286	250	16	32	0	324	401	578	510	464	602	451	38	20	1	371	386	162	32	411	13	5	205	256	237	23	16	7	164	170	625	219	16	7	1	53	23	9	4	0	7	724	55	11	4	8	2	8	2	21	2	210	273	145	0	3	0	57	19	147	64	42	238	1	164	231	192	8	7	18	7	168	35	347	32	13	51	518	475	118	15	403	281	376	197	21	22	208	59	59	434	14	428	399	55	2	1	218	275	241	0	45	9	2	178	562	610	638	467	218	634	607	6	11	11	39	2	38	8	236	328	151	6	20	12	90	73	81	77	4	18	3	189	372	239	6	1	44	0	81	150	362	14	8	3	434	200	13	29	283	259	221	51	88	198	69	193	156	312	0	255	173	1	339	93	91	204	122	3	73	10	1	141	63	56	89	111	243	105	102	1	11	25	30	0	0	0	16	65	53	0	0	1	9	100	1	14	0	0	0	9	24	38	0	2	48	8	4	2	0	0	0	0	31	0	0	0	6	24	27	3	5	18	2	2	0	0	0	0	2	1	3	5	0	0	0	0	0	0	1	0	144	35	90	0	4	2	39	40	0	3	1	10	0	0	0	44	4	197	349	503	433	340	228	251	8	57	12	4	7	12	31	449	328	625	11	288	583	53	225	694	529	10	18	157	2	341	243	492	36	473	336
